REG,STN,     YEAR,MO,DA,  WDSP, MXSPD,  MAX ,  MIN ,PRCP , FRSHTT,
5,Melbourne, 2006,01,01,  11.0,  21.0,  84.2,  51.8, 0.48, 010000,
5,Melbourne, 2006,01,02,   8.7,  18.1,  75.0,  52.3, 0.00, 000000,
5,Melbourne, 2006,01,03,  13.5,  20.0,  71.6,  53.6, 0.00, 000000,
5,Melbourne, 2006,01,04,  11.4,  16.9,  67.3,  51.8, 0.00, 000000,
5,Melbourne, 2006,01,05,  11.3,  15.0,  73.8,  51.3, 0.00, 000000,
5,Melbourne, 2006,01,06,  11.7,  22.0,  75.4,  55.4, 0.00, 000000,
5,Melbourne, 2006,01,07,   7.5,  15.0,  79.5,  54.7, 0.00, 000000,
5,Melbourne, 2006,01,08,  10.4,  28.0,  83.8,  55.2, 0.00, 010000,
5,Melbourne, 2006,01,09,   7.8,  22.0,  90.3,  60.8, 0.00, 000000,
5,Melbourne, 2006,01,10,   9.4,  15.0,  83.8,  60.6, 0.46, 010000,
5,Melbourne, 2006,01,11,   7.9,  14.0,  70.0,  51.8, 0.14, 000000,
5,Melbourne, 2006,01,12,   9.9,  16.9,  76.6,  52.0, 0.02, 010000,
5,Melbourne, 2006,01,13,   9.0,  15.0,  70.7,  50.0, 0.00, 000000,
5,Melbourne, 2006,01,14,  10.6,  15.0,  72.9,  49.5, 0.00, 000000,
5,Melbourne, 2006,01,15,   9.7,  15.0,  72.7,  57.2, 0.00, 000000,
5,Melbourne, 2006,01,16,   6.4,  14.0,  80.8,  56.7, 0.00, 000000,
5,Melbourne, 2006,01,17,  11.4,  15.9,  73.2,  58.1, 0.00, 000000,
5,Melbourne, 2006,01,18,  10.2,  21.0,  83.7,  55.8, 0.00, 000000,
5,Melbourne, 2006,01,19,  21.6,  37.9,  91.4,  55.2, 0.02, 010010,
5,Melbourne, 2006,01,20,  17.4,  35.0, 100.4,  66.2, 0.00, 010010,
5,Melbourne, 2006,01,21,  15.0,  28.0, 105.4,  66.2, 0.02, 010010,
5,Melbourne, 2006,01,22,  12.3,  26.0, 108.9,  62.6, 0.00, 010000,
5,Melbourne, 2006,01,23,  11.7,  18.1,  76.3,  55.4, 0.00, 000000,
5,Melbourne, 2006,01,24,  12.9,  20.0,  70.3,  50.0, 0.00, 000000,
5,Melbourne, 2006,01,25,  11.1,  28.0,  95.0,  49.5, 0.00, 000000,
5,Melbourne, 2006,01,26,  14.4,  27.0, 104.5,  64.8, 0.01, 010010,
5,Melbourne, 2006,01,27,   8.4,  35.9,  99.7,  64.4, 0.09, 010010,
5,Melbourne, 2006,01,28,   4.6,  16.9,  78.8,  68.0, 0.67, 110010,
5,Melbourne, 2006,01,29,  10.7,  15.0,  86.2,  60.4, 0.03, 110000,
5,Melbourne, 2006,01,30,  13.5,  20.0,  71.1,  56.8, 0.03, 010000,
5,Melbourne, 2006,01,31,   8.6,  15.9,  75.0,  55.6, 0.00, 010000,
5,Melbourne, 2006,02,01,   6.6,  12.0,  71.6,  57.2, 0.17, 010000,
5,Melbourne, 2006,02,02,  10.2,  15.0,  72.5,  57.0, 0.00, 000000,
5,Melbourne, 2006,02,03,   8.5,  14.0,  70.3,  57.0, 0.00, 000000,
5,Melbourne, 2006,02,04,  10.9,  15.9,  76.1,  57.2, 0.00, 000000,
5,Melbourne, 2006,02,05,   8.7,  21.0,  75.7,  53.6, 0.00, 000000,
5,Melbourne, 2006,02,06,  14.1,  30.9,  77.9,  51.6, 0.00, 010000,
5,Melbourne, 2006,02,07,  12.8,  35.9,  73.4,  46.4, 0.00, 000000,
5,Melbourne, 2006,02,08,  13.9,  30.9,  89.2,  46.0, 0.05, 010000,
5,Melbourne, 2006,02,09,  13.0,  26.0,  75.4,  51.8, 0.16, 010000,
5,Melbourne, 2006,02,10,  10.1,  15.9,  67.1,  51.3, 0.00, 000000,
5,Melbourne, 2006,02,11,   7.5,  13.0,  73.4,  49.8, 0.00, 000000,
5,Melbourne, 2006,02,12,  12.1,  21.0,  88.0,  49.3, 0.02, 010000,
5,Melbourne, 2006,02,13,   9.7,  15.9,  69.4,  50.7, 0.00, 000000,
5,Melbourne, 2006,02,14,   8.2,  13.0,  72.1,  51.3, 0.00, 000000,
5,Melbourne, 2006,02,15,   8.2,  13.0,  77.7,  55.0, 0.00, 010000,
5,Melbourne, 2006,02,16,  12.1,  28.9,  86.4,  62.8, 0.00, 000000,
5,Melbourne, 2006,02,17,  12.9,  25.1,  96.1,  60.8, 0.00, 010000,
5,Melbourne, 2006,02,18,   8.6,  13.0,  77.5,  60.4, 0.00, 000000,
5,Melbourne, 2006,02,19,  11.6,  18.1,  73.0,  57.2, 0.00, 000000,
5,Melbourne, 2006,02,20,   9.5,  18.1,  71.8,  56.3, 0.00, 000000,
5,Melbourne, 2006,02,21,  11.3,  15.0,  73.9,  56.8, 0.00, 000000,
5,Melbourne, 2006,02,22,  10.5,  15.9,  73.6,  57.2, 0.00, 000000,
5,Melbourne, 2006,02,23,  10.0,  30.9,  96.6,  56.7, 0.00, 000000,
5,Melbourne, 2006,02,24,  14.0,  27.0,  96.8,  64.8, 0.02, 010000,
5,Melbourne, 2006,02,25,   9.9,  20.0,  86.9,  59.0, 1.80, 010010,
5,Melbourne, 2006,02,26,   9.1,  15.0,  68.5,  53.6, 0.00, 000000,
5,Melbourne, 2006,02,27,   6.5,  11.1,  72.3,  50.0, 0.00, 000000,
5,Melbourne, 2006,02,28,   5.9,  14.0,  74.7,  50.4, 0.00, 000000,
5,Melbourne, 2006,03,01,  10.4,  27.0,  78.8,  52.2, 0.00, 000000,
5,Melbourne, 2006,03,02,  11.5,  25.1,  92.3,  53.4, 0.00, 000000,
5,Melbourne, 2006,03,03,   8.4,  19.0,  93.2,  62.6, 0.00, 000000,
5,Melbourne, 2006,03,04,   9.1,  18.1,  88.3,  60.3, 0.00, 000000,
5,Melbourne, 2006,03,05,   9.1,  14.0,  87.4,  55.4, 0.00, 000000,
5,Melbourne, 2006,03,06,  13.2,  16.9,  72.5,  54.5, 0.00, 000000,
5,Melbourne, 2006,03,07,  11.3,  18.1,  69.4,  56.5, 0.00, 000000,
5,Melbourne, 2006,03,08,   5.6,  12.0,  76.3,  56.3, 0.00, 000000,
5,Melbourne, 2006,03,09,   9.8,  15.9,  82.4,  56.7, 0.00, 000000,
5,Melbourne, 2006,03,10,   8.4,  15.0,  75.2,  56.5, 0.00, 000000,
5,Melbourne, 2006,03,11,   8.7,  25.1,  84.2,  56.1, 0.00, 000000,
5,Melbourne, 2006,03,12,  12.8,  22.0, 100.2,  58.6, 0.35, 010000,
5,Melbourne, 2006,03,13,   8.1,  18.1,  77.2,  48.9, 0.00, 000000,
5,Melbourne, 2006,03,14,   9.2,  15.0,  68.5,  48.7, 0.00, 000000,
5,Melbourne, 2006,03,15,  11.5,  20.0,  73.8,  50.2, 0.17, 010000,
5,Melbourne, 2006,03,16,  14.0,  22.9,  71.4,  53.6, 0.00, 000000,
5,Melbourne, 2006,03,17,   7.1,  15.0,  67.3,  50.0, 0.00, 000000,
5,Melbourne, 2006,03,18,   6.8,  12.0,  70.2,  49.6, 0.00, 000000,
5,Melbourne, 2006,03,19,   7.8,  15.9,  70.9,  50.0, 0.00, 000000,
5,Melbourne, 2006,03,20,   9.5,  15.0,  70.5,  48.0, 0.00, 000000,
5,Melbourne, 2006,03,21,   7.2,  13.0,  79.9,  51.3, 0.00, 000000,
5,Melbourne, 2006,03,22,   8.0,  13.0,  84.0,  53.6, 0.00, 000000,
5,Melbourne, 2006,03,23,   7.4,  13.0,  80.6,  55.6, 0.00, 000000,
5,Melbourne, 2006,03,24,  10.5,  25.1,  89.1,  57.2, 0.00, 000000,
5,Melbourne, 2006,03,25,  12.5,  25.1,  86.9,  57.6, 0.00, 000000,
5,Melbourne, 2006,03,26,  10.7,  18.1,  86.7,  60.8, 0.00, 000000,
5,Melbourne, 2006,03,27,  10.9,  16.9,  68.4,  59.0, 0.00, 010000,
5,Melbourne, 2006,03,28,   7.6,  15.9,  77.0,  53.6, 0.00, 000000,
5,Melbourne, 2006,03,29,   9.3,  19.0,  87.1,  53.1, 0.00, 010000,
5,Melbourne, 2006,03,30,   8.3,  14.0,  70.9,  51.8, 0.00, 000000,
5,Melbourne, 2006,03,31,  14.9,  23.9,  69.8,  46.4, 0.14, 010000,
5,Melbourne, 2006,04,01,  14.4,  23.9,  62.2,  46.6, 0.02, 010000,
5,Melbourne, 2006,04,02,   7.7,  15.0,  63.5,  46.9, 0.00, 000000,
5,Melbourne, 2006,04,03,   4.9,   9.9,  62.8,  46.9, 0.00, 000000,
5,Melbourne, 2006,04,04,   7.0,  19.0,  68.9,  50.0, 0.00, 000000,
5,Melbourne, 2006,04,05,  16.2,  25.1,  68.9,  44.6, 0.24, 010000,
5,Melbourne, 2006,04,06,  16.6,  25.1,  60.1,  45.0, 0.00, 010000,
5,Melbourne, 2006,04,07,  14.4,  21.0,  63.1,  49.3, 0.00, 010000,
5,Melbourne, 2006,04,08,  13.0,  19.0,  63.5,  48.7, 0.00, 000000,
5,Melbourne, 2006,04,09,   7.5,  13.0,  59.5,  42.8, 0.00, 000000,
5,Melbourne, 2006,04,10,  14.4,  25.1,  69.1,  43.0, 0.00, 000000,
5,Melbourne, 2006,04,11,  14.0,  25.1,  81.0,  50.0, 0.00, 000000,
5,Melbourne, 2006,04,12,   8.4,  18.1,  70.5,  48.2, 0.00, 000000,
5,Melbourne, 2006,04,13,  10.9,  16.9,  75.9,  48.0, 0.02, 010000,
5,Melbourne, 2006,04,14,  13.7,  29.9,  74.5,  46.4, 0.20, 010000,
5,Melbourne, 2006,04,15,  11.2,  21.0,  60.8,  46.0, 0.00, 000000,
5,Melbourne, 2006,04,16,   9.9,  23.9,  61.2,  42.8, 0.00, 000000,
5,Melbourne, 2006,04,17,  18.0,  37.9,  66.2,  41.4, 0.00, 010000,
5,Melbourne, 2006,04,18,  13.4,  19.0,  68.9,  49.1, 0.00, 000000,
5,Melbourne, 2006,04,19,  17.9,  27.0,  70.0,  46.4, 0.10, 010000,
5,Melbourne, 2006,04,20,  13.0,  20.0,  63.5,  44.4, 0.15, 010000,
5,Melbourne, 2006,04,21,   9.2,  26.0,  59.5,  41.0, 0.10, 010000,
5,Melbourne, 2006,04,22,  10.1,  15.9,  58.3,  41.5, 0.00, 010000,
5,Melbourne, 2006,04,23,   7.6,  15.0,  59.5,  46.4, 0.00, 010000,
5,Melbourne, 2006,04,24,   6.0,  11.1,  57.2,  38.5, 0.00, 000000,
5,Melbourne, 2006,04,25,   6.4,   9.9,  67.6,  38.5, 0.00, 000000,
5,Melbourne, 2006,04,26,   6.0,  12.0,  71.1,  42.3, 0.00, 000000,
5,Melbourne, 2006,04,27,   6.2,   9.9,  70.0,  42.8, 0.00, 000000,
