REG,STN       ,	YEAR,MO,DA,  WDSP, MXSPD, MAX  ,  MIN ,PRCP  , FRSHTT,
2,Townsville, 2006,01,01,   9.3,  19.0, 88.2,  77.4, 0.03, 000000,
2,Townsville, 2006,01,02,  10.6,  15.9, 89.1,  77.7, 0.00, 000000,
2,Townsville, 2006,01,03,   8.9,  15.9, 88.2,  78.8, 0.00, 000000,
2,Townsville, 2006,01,04,  10.8,  15.9, 90.0,  78.8, 0.00, 000000,
2,Townsville, 2006,01,05,   9.3,  15.0, 91.2,  78.6, 0.00, 000000,
2,Townsville, 2006,01,06,   8.2,  13.0, 93.2,  79.2, 0.00, 000000,
2,Townsville, 2006,01,07,  10.3,  15.0, 94.6,  79.3, 0.00, 000000,
2,Townsville, 2006,01,08,  12.4,  19.0, 93.4,  71.6, 1.86, 010000,
2,Townsville, 2006,01,09,   8.4,  15.0, 87.8,  78.8, 0.04, 010010,
2,Townsville, 2006,01,10,   9.0,  18.1, 88.2,  71.6, 0.84, 010010,
2,Townsville, 2006,01,11,   8.2,  19.0, 86.5,  72.1, 1.04, 010000,
2,Townsville, 2006,01,12,   8.3,  15.9, 84.2,  71.6, 2.13, 010000,
2,Townsville, 2006,01,13,  10.6,  16.9, 87.8,  71.2, 0.02, 010000,
2,Townsville, 2006,01,14,   9.3,  15.0, 87.8,  75.2, 0.06, 010000,
2,Townsville, 2006,01,15,  10.4,  15.9, 87.8,  74.3, 0.05, 010000,
2,Townsville, 2006,01,16,  11.1,  16.9, 87.8,  77.0, 0.00, 000000,
2,Townsville, 2006,01,17,  10.7,  18.1, 88.3,  76.8, 0.01, 010000,
2,Townsville, 2006,01,18,   8.9,  14.0, 88.7,  77.0, 0.01, 010000,
2,Townsville, 2006,01,19,   9.5,  15.0, 89.4,  78.8, 0.00, 000000,
2,Townsville, 2006,01,20,   9.8,  15.9, 90.5,  79.2, 0.00, 000000,
2,Townsville, 2006,01,21,   9.9,  16.9, 91.0,  78.8, 0.01, 010000,
2,Townsville, 2006,01,22,  10.1,  16.9, 91.0,  78.8, 0.01, 000000,
2,Townsville, 2006,01,23,  10.1,  16.9, 91.9,  75.2, 0.08, 010010,
2,Townsville, 2006,01,24,   8.6,  15.0, 89.8,  75.0, 2.72, 010000,
2,Townsville, 2006,01,25,   8.4,  16.9, 86.9,  74.8, 1.26, 010000,
2,Townsville, 2006,01,26,  12.2,  20.0, 81.5,  70.9, 6.72, 010000,
2,Townsville, 2006,01,27,   9.0,  16.9, 84.4,  70.7, 0.80, 010000,
2,Townsville, 2006,01,28,   6.8,  16.9, 88.3,  74.7, 0.09, 010000,
2,Townsville, 2006,01,29,   7.8,  15.9, 87.3,  74.3, 0.01, 010000,
2,Townsville, 2006,01,30,   5.9,  14.0, 87.4,  74.3, 0.00, 000000,
2,Townsville, 2006,01,31,   6.0,  11.1, 88.0,  74.7, 0.00, 000000,
2,Townsville, 2006,02,01,   5.0,   9.9, 88.9,  77.0, 0.00, 000000,
2,Townsville, 2006,02,02,   6.4,  13.0, 89.6,  78.6, 0.00, 000000,
2,Townsville, 2006,02,03,   9.2,  15.0, 90.7,  78.6, 0.00, 010000,
2,Townsville, 2006,02,04,   7.9,  13.0, 90.1,  78.3, 0.02, 010000,
2,Townsville, 2006,02,05,   9.0,  15.0, 91.4,  78.8, 0.00, 000000,
2,Townsville, 2006,02,06,   8.5,  16.9, 93.2,  78.8, 0.06, 010000,
2,Townsville, 2006,02,07,   8.7,  15.0, 93.4,  78.8, 0.00, 000000,
2,Townsville, 2006,02,08,   9.6,  18.1, 91.8,  77.0, 0.00, 000000,
2,Townsville, 2006,02,09,   9.4,  15.0, 90.5,  77.0, 0.00, 000000,
2,Townsville, 2006,02,10,   6.7,  14.0, 91.0,  77.5, 0.00, 000000,
2,Townsville, 2006,02,11,   9.2,  16.9, 91.6,  77.4, 0.00, 000000,
2,Townsville, 2006,02,12,  10.3,  16.9, 91.6,  77.0, 0.00, 000000,
2,Townsville, 2006,02,13,  10.3,  15.9, 92.7,  77.2, 0.07, 010000,
2,Townsville, 2006,02,14,  10.9,  16.9, 91.4,  78.8, 0.00, 010000,
2,Townsville, 2006,02,15,  11.1,  19.0, 92.5,  77.9, 0.00, 010000,
2,Townsville, 2006,02,16,  10.0,  16.9, 88.2,  77.0, 0.37, 010000,
2,Townsville, 2006,02,17,   9.1,  16.9, 89.2,  77.0, 0.00, 000000,
2,Townsville, 2006,02,18,   7.6,  15.0, 90.1,  75.6, 0.00, 000000,
2,Townsville, 2006,02,19,   8.6,  15.0, 91.0,  75.9, 0.00, 000000,
2,Townsville, 2006,02,20,  10.6,  19.0, 91.0,  77.0, 0.00, 000000,
2,Townsville, 2006,02,21,  11.4,  19.0, 92.7,  76.5, 0.07, 010000,
2,Townsville, 2006,02,22,  12.4,  20.0, 91.6,  76.8, 0.00, 000000,
2,Townsville, 2006,02,23,  12.7,  20.0, 91.4,  76.5, 0.02, 010000,
2,Townsville, 2006,02,24,  11.3,  20.0, 91.0,  75.0, 0.00, 000000,
2,Townsville, 2006,02,25,  10.5,  21.0, 91.4,  71.6, 0.00, 010000,
2,Townsville, 2006,02,26,   9.4,  18.1, 91.8,  71.8, 0.00, 000000,
2,Townsville, 2006,02,27,  11.0,  19.0, 93.4,  75.2, 0.00, 000000,
2,Townsville, 2006,02,28,   9.1,  16.9, 91.2,  75.2, 0.00, 010000,
2,Townsville, 2006,03,01,   8.4,  18.1, 92.5,  75.2, 0.00, 010010,
2,Townsville, 2006,03,02,   9.4,  15.9, 91.0,  75.4, 0.00, 000000,
2,Townsville, 2006,03,03,   9.6,  16.9, 90.5,  75.7, 0.22, 000000,
2,Townsville, 2006,03,04,   8.2,  16.9, 90.3,  77.4, 0.00, 000000,
2,Townsville, 2006,03,05,   9.5,  14.0, 90.5,  76.6, 0.17, 010000,
2,Townsville, 2006,03,06,   6.4,  13.0, 86.0,  75.2, 1.76, 010000,
2,Townsville, 2006,03,07,   8.2,  15.9, 87.6,  75.0, 0.06, 010000,
2,Townsville, 2006,03,08,  10.5,  15.0, 89.6,  79.5, 0.04, 010000,
2,Townsville, 2006,03,09,  11.4,  19.0, 89.8,  77.0, 0.94, 010000,
2,Townsville, 2006,03,10,   7.1,  15.0, 88.3,  76.5, 0.02, 010000,
2,Townsville, 2006,03,11,  11.3,  22.9, 88.5,  76.3, 0.02, 010000,
2,Townsville, 2006,03,12,  11.9,  19.0, 88.9,  73.4, 0.09, 010000,
2,Townsville, 2006,03,13,  12.7,  19.0, 88.7,  73.9, 0.00, 000000,
