REG,STN,   YEAR,MO,DA,WDSP,MXSPD,   MAX ,  MIN ,PRCP , FRSHTT,
3,Adelaide,2006,01,01, 9.6,15.0,    80.8,  57.0, 0.40, 010000,
3,Adelaide,2006,01,02,10.4,18.1,    75.2,  56.5, 0.00, 000000,
3,Adelaide,2006,01,03, 9.6,16.9,    76.1,  56.1, 0.00, 000000,
3,Adelaide,2006,01,04, 8.7,18.1,    83.8,  61.9, 0.00, 000000,
3,Adelaide,2006,01,05,11.0,16.9,    82.6,  60.8, 0.00, 000000,
3,Adelaide,2006,01,06, 9.1,15.9,    86.0,  59.4, 0.00, 000000,
3,Adelaide,2006,01,07, 7.6,15.0,    83.5,  60.3, 0.00, 000000,
3,Adelaide,2006,01,08, 8.2,18.1,    95.9,  59.9, 0.00, 010000,
3,Adelaide,2006,01,09, 9.4,19.0,    91.8,  71.4, 0.00, 000000,
3,Adelaide,2006,01,10,10.0,15.9,    86.2,  66.9, 0.00, 010000,
3,Adelaide,2006,01,11,11.8,19.0,    77.0,  60.8, 0.00, 000000,
3,Adelaide,2006,01,12,12.6,19.0,    82.9,  60.3, 0.00, 000000,
3,Adelaide,2006,01,13, 9.1,15.0,    88.5,  62.2, 0.01, 000000,
3,Adelaide,2006,01,14, 5.1,11.1,    80.2,  60.8, 0.15, 010000,
3,Adelaide,2006,01,15, 6.5,11.1,    81.7,  61.0, 0.00, 010000,
3,Adelaide,2006,01,16, 7.7,13.0,    86.4,  68.0, 0.00, 000000,
3,Adelaide,2006,01,17,10.3,15.9,    93.7,  68.9, 0.00, 000000,
3,Adelaide,2006,01,18, 6.7,14.0,    92.3,  68.2, 0.00, 000000,
3,Adelaide,2006,01,19, 7.7,16.9,   100.4,  69.3, 0.00, 010010,
3,Adelaide,2006,01,20, 6.8,14.0,   106.5,  80.4, 0.00, 000010,
3,Adelaide,2006,01,21,11.3,20.0,   109.8,  83.1, 0.00, 000000,
3,Adelaide,2006,01,22,13.7,22.9,   104.0,  66.2, 0.00, 000000,
3,Adelaide,2006,01,23,13.4,20.0,    77.5,  62.6, 0.00, 000000,
3,Adelaide,2006,01,24, 9.5,15.0,    81.1,  60.8, 0.00, 000000,
3,Adelaide,2006,01,25, 9.9,15.0,    98.6,  56.8, 0.00, 000000,
3,Adelaide,2006,01,26,10.0,20.0,   106.3,  71.6, 0.00, 010000,
3,Adelaide,2006,01,27, 8.6,20.0,    85.5,  69.4, 0.09, 010010,
3,Adelaide,2006,01,28, 5.5,15.0,    86.2,  68.7, 0.17, 010010,
3,Adelaide,2006,01,29,13.0,18.1,    82.4,  64.0, 0.01, 000000,
3,Adelaide,2006,01,30,13.2,21.0,    76.1,  60.8, 0.00, 000000,
3,Adelaide,2006,01,31, 9.7,16.9,    88.2,  59.9, 0.00, 000000,
3,Adelaide,2006,02,01,10.3,16.9,    73.4,  59.0, 0.21, 010000,
3,Adelaide,2006,02,02, 9.3,15.0,    76.6,  59.2, 0.00, 000000,
3,Adelaide,2006,02,03,10.4,16.9,    78.4,  60.1, 0.00, 010000,
3,Adelaide,2006,02,04, 8.7,15.0,    82.0,  61.0, 0.00, 000000,
3,Adelaide,2006,02,05, 8.6,15.9,    80.1,  60.8, 0.00, 000000,
3,Adelaide,2006,02,06,12.7,21.0,    75.7,  55.4, 0.00, 000000,
3,Adelaide,2006,02,07, 9.3,15.9,    82.4,  54.7, 0.00, 000000,
3,Adelaide,2006,02,08,15.7,22.0,    94.8,  59.9, 0.25, 010000,
3,Adelaide,2006,02,09,10.6,20.0,    68.0,  57.0, 0.00, 000000,
3,Adelaide,2006,02,10, 8.2,16.9,    71.4,  55.4, 0.00, 000000,
3,Adelaide,2006,02,11, 8.8,15.9,    72.9,  53.1, 0.00, 000000,
3,Adelaide,2006,02,12, 9.9,15.9,    75.7,  52.7, 0.00, 000000,
3,Adelaide,2006,02,13,10.4,21.0,    73.6,  55.0, 0.00, 000000,
3,Adelaide,2006,02,14, 8.3,19.0,    78.8,  54.5, 0.00, 000000,
3,Adelaide,2006,02,15, 5.8,14.0,    81.7,  60.6, 0.00, 000000,
3,Adelaide,2006,02,16, 8.9,16.9,    95.9,  66.2, 0.00, 000000,
3,Adelaide,2006,02,17,10.8,15.9,    75.2,  62.6, 0.00, 000000,
3,Adelaide,2006,02,18, 9.7,16.9,    73.9,  60.8, 0.00, 000000,
3,Adelaide,2006,02,19,11.2,18.1,    75.0,  55.4, 0.00, 000000,
3,Adelaide,2006,02,20, 9.6,15.0,    78.1,  55.2, 0.00, 000000,
3,Adelaide,2006,02,21,10.1,16.9,    82.2,  56.3, 0.00, 000000,
3,Adelaide,2006,02,22, 6.6,12.0,    89.4,  56.1, 0.00, 010000,
3,Adelaide,2006,02,23, 9.3,19.0,    78.8,  68.0, 0.09, 010000,
3,Adelaide,2006,02,24, 6.9,16.9,    85.1,  66.2, 0.51, 010010,
3,Adelaide,2006,02,25, 9.3,15.9,    76.5,  60.4, 0.00, 000000,
3,Adelaide,2006,02,26, 9.0,16.9,    74.3,  55.4, 0.00, 000000,
3,Adelaide,2006,02,27, 7.4,15.9,    78.8,  54.5, 0.00, 000000,
3,Adelaide,2006,02,28, 9.5,15.9,    86.7,  55.8, 0.00, 000000,
3,Adelaide,2006,03,01, 8.7,15.0,    93.2,  59.5, 0.00, 000000,
3,Adelaide,2006,03,02,10.6,21.0,    98.8,  70.9, 0.00, 000000,
3,Adelaide,2006,03,03, 7.8,15.0,    92.7,  68.0, 0.00, 000000,
3,Adelaide,2006,03,04, 9.1,15.9,    91.4,  67.5, 0.00, 000000,
3,Adelaide,2006,03,05,11.2,18.1,    83.7,  59.0, 0.00, 000000,
3,Adelaide,2006,03,06,10.6,15.0,    77.0,  59.2, 0.00, 000000,
3,Adelaide,2006,03,07, 8.6,20.0,    73.9,  51.8, 0.00, 000000,
3,Adelaide,2006,03,08, 4.9,11.1,    80.8,  50.7, 0.00, 000000,
3,Adelaide,2006,03,09, 6.6,12.0,    79.0,  53.6, 0.00, 000000,
3,Adelaide,2006,03,10, 5.6,12.0,    84.2,  52.5, 0.00, 000000,
3,Adelaide,2006,03,11, 8.1,15.0,    97.5,  59.0, 0.00, 000000,
3,Adelaide,2006,03,12, 9.8,20.0,    98.6,  64.4, 0.18, 010000,
3,Adelaide,2006,03,13, 8.6,15.0,    72.3,  53.6, 0.01, 000000,
3,Adelaide,2006,03,14, 7.7,16.9,    74.5,  53.4, 0.00, 000000,
3,Adelaide,2006,03,15,13.0,18.1,    72.7,  52.7, 0.00, 010000,
3,Adelaide,2006,03,16,10.2,16.9,    70.7,  55.0, 0.00, 000000,
3,Adelaide,2006,03,17, 6.4,11.1,    68.2,  51.8, 0.00, 000000,
3,Adelaide,2006,03,18, 7.9,15.0,    72.1,  52.0, 0.00, 000000,
3,Adelaide,2006,03,19, 9.5,15.0,    79.3,  56.1, 0.00, 000000,
3,Adelaide,2006,03,20, 7.9,15.0,    80.8,  53.6, 0.00, 000000,
3,Adelaide,2006,03,21, 9.2,18.1,    81.3,  52.5, 0.00, 000000,
3,Adelaide,2006,03,22, 5.6,13.0,    80.6,  58.8, 0.00, 000000,
3,Adelaide,2006,03,23, 7.8,12.0,    90.3,  64.6, 0.00, 000000,
3,Adelaide,2006,03,24, 8.4,15.9,    93.2,  64.2, 0.00, 000000,
3,Adelaide,2006,03,25, 6.6,15.9,    93.4,  63.7, 0.00, 000000,
3,Adelaide,2006,03,26,11.2,18.1,    78.6,  62.1, 0.00, 010010,
3,Adelaide,2006,03,27,12.3,16.9,    70.9,  60.8, 0.00, 000000,
3,Adelaide,2006,03,28, 8.3,14.0,    75.4,  55.4, 0.00, 000000,
3,Adelaide,2006,03,29,10.3,20.0,    73.0,  54.7, 0.00, 000000,
3,Adelaide,2006,03,30,11.0,16.9,    72.1,  57.4, 0.00, 000000,
3,Adelaide,2006,03,31,11.7,20.0,    70.7,  57.2, 0.06, 010000,
3,Adelaide,2006,04,01, 8.1,15.0,    65.3,  50.0, 0.00, 000000,
3,Adelaide,2006,04,02, 8.7,14.0,    69.6,  49.3, 0.00, 000000,
3,Adelaide,2006,04,03, 7.0,14.0,    69.8,  59.0, 0.00, 010000,
3,Adelaide,2006,04,04,15.1,26.0,    69.8,  58.8, 0.04, 010000,
3,Adelaide,2006,04,05,20.3,27.0,    67.1,  55.4, 0.08, 010000,
3,Adelaide,2006,04,06,11.5,19.0,    65.3,  55.0, 0.10, 010000,
3,Adelaide,2006,04,07, 7.8,15.0,    68.4,  55.0, 0.01, 000000,
3,Adelaide,2006,04,08, 6.1,13.0,    68.0,  43.7, 0.00, 000000,
3,Adelaide,2006,04,09, 8.1,13.0,    67.5,  43.7, 0.00, 000000,
3,Adelaide,2006,04,10,10.2,15.9,    75.2,  52.5, 0.00, 010000,
3,Adelaide,2006,04,11,11.5,21.0,    72.7,  56.1, 0.00, 010000,
3,Adelaide,2006,04,12, 5.6,11.1,    69.4,  55.4, 0.00, 000000,
3,Adelaide,2006,04,13,10.1,15.9,    75.4,  55.6, 0.00, 010000,
3,Adelaide,2006,04,14, 8.8,21.0,    65.5,  42.8, 0.06, 010000,
3,Adelaide,2006,04,15, 7.4,14.0,    67.5,  42.3, 0.00, 000000,
3,Adelaide,2006,04,16,10.6,18.1,    71.1,  44.8, 0.00, 000000,
3,Adelaide,2006,04,17,15.2,19.0,    67.6,  53.6, 0.61, 010000,
3,Adelaide,2006,04,18,13.7,20.0,    66.4,  53.4, 0.01, 010000,
3,Adelaide,2006,04,19,19.4,22.9,    70.7,  53.8, 0.20, 010000,
3,Adelaide,2006,04,20,15.1,22.0,    64.9,  51.4, 0.08, 010000,
3,Adelaide,2006,04,21, 7.6,15.9,    63.0,  50.9, 0.00, 000000,
3,Adelaide,2006,04,22, 5.8, 9.9,    62.4,  45.3, 0.00, 000000,
3,Adelaide,2006,04,23, 5.0, 8.9,    63.5,  44.2, 0.00, 000000,
3,Adelaide,2006,04,24, 7.2,11.1,    65.3,  44.6, 0.00, 000000,
3,Adelaide,2006,04,25, 7.1,11.1,    72.7,  50.0, 0.00, 000000,
3,Adelaide,2006,04,26, 8.0,11.1,    77.9,  48.7, 0.00, 000000,
3,Adelaide,2006,04,27,12.4,18.1,    80.6,  56.8, 0.16, 010000,
3,Adelaide,2006,04,28, 7.5,15.0,    75.7,  55.4, 0.03, 010000,
3,Adelaide,2006,04,29,10.7,16.9,    67.1,  54.9, 0.01, 010000,
3,Adelaide,2006,04,30,12.5,16.9,    65.3,  57.2, 0.14, 010000,
3,Adelaide,2006,05,01,11.3,19.0,    64.8,  55.4, 0.01, 010000,
3,Adelaide,2006,05,02,14.0,21.0,    66.9,  55.0, 0.13, 010000,
3,Adelaide,2006,05,03,13.5,21.0,    64.8,  56.7, 0.01, 010000,
3,Adelaide,2006,05,04, 9.5,14.0,    64.4,  53.6, 0.03, 010000,
3,Adelaide,2006,05,05, 8.0,14.0,    64.4,  48.0, 0.05, 110000,
3,Adelaide,2006,05,06,18.7,30.9,    66.7,  47.1, 0.66, 011100,
3,Adelaide,2006,05,07,14.5,23.9,    59.0,  49.5, 0.03, 010000,
3,Adelaide,2006,05,08,10.2,15.9,    61.5,  49.8, 0.00, 010000,
3,Adelaide,2006,05,09,11.5,18.1,    64.0,  50.0, 0.05, 010000,
3,Adelaide,2006,05,10, 5.2, 8.9,    61.2,  46.2, 0.00, 000000,
3,Adelaide,2006,05,11, 6.2, 8.9,    61.2,  45.7, 0.00, 000000,
3,Adelaide,2006,05,12, 6.3,12.0,    63.5,  53.1, 0.00, 000000,
3,Adelaide,2006,05,13, 6.2,11.1,    60.8,  54.3, 0.00, 000000,
3,Adelaide,2006,05,14, 4.9, 8.9,    62.1,  53.4, 0.00, 000000,
3,Adelaide,2006,05,15, 5.4, 9.9,    65.5,  42.1, 0.00, 000000,
3,Adelaide,2006,05,16, 4.2, 8.0,    67.3,  41.9, 0.00, 000000,
3,Adelaide,2006,05,17, 3.6, 7.0,    66.2,  43.3, 0.00, 000000,
3,Adelaide,2006,05,18, 4.6, 8.9,    64.4,  42.8, 0.00, 000000,
3,Adelaide,2006,05,19, 5.3, 8.9,    63.9,  41.7, 0.00, 000000,
3,Adelaide,2006,05,20, 5.5,13.0,    61.9,  42.8, 0.00, 000000,
3,Adelaide,2006,05,21, 5.1,13.0,    60.3,  41.0, 0.00, 010000,
3,Adelaide,2006,05,22, 6.5,11.1,    59.9,  40.1, 0.00, 000000,
3,Adelaide,2006,05,23, 5.1, 8.9,    55.8,  39.2, 0.00, 000000,
3,Adelaide,2006,05,24, 5.7, 8.0,    55.0,  37.0, 0.00, 000000,
3,Adelaide,2006,05,25, 7.3,12.0,    65.5,  36.5, 0.00, 010000,
3,Adelaide,2006,05,26, 4.6, 8.0,    61.2,  39.2, 0.00, 000000,
3,Adelaide,2006,05,27, 5.3,13.0,    64.9,  39.2, 0.00, 000000,
3,Adelaide,2006,05,28, 5.1,11.1,    61.2,  41.0, 0.04, 010000,
3,Adelaide,2006,05,29, 5.3,11.1,    59.0,  40.5, 0.00, 000000,
3,Adelaide,2006,05,30,11.6,14.0,    63.3,  41.9, 0.00, 000000,
3,Adelaide,2006,05,31,10.6,19.0,    61.5,  48.2, 0.43, 010000,
3,Adelaide,2006,06,01, 6.3,12.0,    57.2,  43.2, 0.00, 010000,
3,Adelaide,2006,06,02, 6.3,13.0,    62.6,  42.8, 0.01, 010000,
3,Adelaide,2006,06,03, 5.6,15.9,    60.8,  39.2, 0.00, 000000,
3,Adelaide,2006,06,04, 4.9, 9.9,    58.3,  37.9, 0.01, 010000,
3,Adelaide,2006,06,05, 4.6, 9.9,    59.0,  39.2, 0.00, 000000,
3,Adelaide,2006,06,06, 4.0, 9.9,    59.0,  35.6, 0.00, 000000,
3,Adelaide,2006,06,07, 5.4, 8.9,    59.0,  35.2, 0.00, 000000,
3,Adelaide,2006,06,08, 8.4,12.0,    62.6,  40.3, 0.00, 000000,
3,Adelaide,2006,06,09, 8.5,14.0,    64.4,  41.7, 0.00, 010000,
3,Adelaide,2006,06,10, 8.6,16.9,    60.8,  46.4, 0.00, 000000,
3,Adelaide,2006,06,11, 6.5,14.0,    56.1,  42.8, 0.00, 000000,
3,Adelaide,2006,06,12, 4.7, 7.0,    54.9,  33.8, 0.00, 000000,
3,Adelaide,2006,06,13, 4.8, 8.0,    56.8,  33.6, 0.00, 000000,
3,Adelaide,2006,06,14, 4.5, 7.0,    57.4,  32.0, 0.00, 000000,
