REG,STN,    YEAR,MO,DA, WDSP, MXSPD,  MAX ,  MIN ,PRCP  , FRSHTT,
1,Sydney, 2006,01,01,    16.0,  35.9, 113.4,  66.2, 0.36, 010000,
1,Sydney, 2006,01,02,     4.8,  15.0,  82.4,  66.2, 0.01, 010000,
1,Sydney, 2006,01,03,    13.1,  18.1,  85.1,  66.2, 0.00, 010000,
1,Sydney, 2006,01,04,     9.3,  19.0,  70.0,  64.4, 0.12, 010000,
1,Sydney, 2006,01,05,    12.6,  22.0,  77.0,  64.4, 0.39, 010000,
1,Sydney, 2006,01,06,    14.4,  26.0,  80.2,  65.1, 0.02, 010000,
1,Sydney, 2006,01,07,    11.8,  16.9,  80.1,  67.8, 0.00, 010000,
1,Sydney, 2006,01,08,    10.7,  15.9,  80.4,  68.9, 0.06, 010000,
1,Sydney, 2006,01,09,     7.7,  15.0,  84.2,  69.1, 0.02, 010000,
1,Sydney, 2006,01,10,    13.0,  22.0,  91.4,  72.1, 0.00, 000000,
1,Sydney, 2006,01,11,    15.6,  26.0,  93.2,  69.8, 0.45, 010010,
1,Sydney, 2006,01,12,     8.9,  13.0,  78.8,  70.3, 0.00, 010000,
1,Sydney, 2006,01,13,     9.4,  15.0,  80.6,  69.8, 0.00, 010000,
1,Sydney, 2006,01,14,    13.2,  21.0,  88.2,  69.4, 0.01, 010000,
1,Sydney, 2006,01,15,     7.0,  11.1,  76.8,  68.0, 0.33, 010010,
1,Sydney, 2006,01,16,     8.1,  18.1,  79.7,  68.5, 0.50, 010000,
1,Sydney, 2006,01,17,    11.3,  19.0,  82.6,  68.0, 0.11, 010000,
1,Sydney, 2006,01,18,    14.2,  20.0,  73.8,  66.2, 0.13, 010000,
1,Sydney, 2006,01,19,    11.1,  19.0,  77.0,  64.9, 0.01, 010000,
1,Sydney, 2006,01,20,    12.6,  21.0,  82.4,  68.0, 0.00, 000000,
1,Sydney, 2006,01,21,    10.9,  18.1,  88.9,  69.1, 0.00, 000000,
1,Sydney, 2006,01,22,    12.5,  22.9,  86.2,  70.7, 0.00, 000000,
1,Sydney, 2006,01,23,    15.8,  28.0,  86.7,  69.8, 0.00, 000000,
1,Sydney, 2006,01,24,    17.7,  26.0,  77.2,  66.9, 0.02, 010000,
1,Sydney, 2006,01,25,     7.4,  13.0,  75.2,  68.0, 0.07, 010000,
1,Sydney, 2006,01,26,    12.6,  20.0,  82.4,  68.5, 0.00, 000000,
1,Sydney, 2006,01,27,    13.7,  25.1,  85.8,  71.6, 0.00, 000000,
1,Sydney, 2006,01,28,    11.5,  20.0,  85.6,  71.4, 0.00, 000000,
1,Sydney, 2006,01,29,    10.1,  19.0,  86.0,  69.8, 0.00, 000000,
1,Sydney, 2006,01,30,    15.7,  22.9,  86.9,  66.2, 0.09, 010000,
1,Sydney, 2006,01,31,     7.6,  12.0,  80.6,  65.5, 0.01, 010000,
